================================================================================
  얼티밋 쿨타임 룰 적용 메타 시뮬레이션
  룰: 얼티밋 쿨타임 = 전 직업 공통 4턴 (자기 턴 기준 감소)
================================================================================

  역할             SP비용    쿨타임
  ----------------------------
  attacker          6     4턴
  defender          3     4턴
  magician          4     4턴
  supporter         4     4턴
  healer            3     4턴

================================================================================
  메타별 캐릭터 얼티밋 쿨타임 (SP비용 + 2)
================================================================================

  M01 화상연계  (평균SPD: 98, 평균쿨타임: 4.0턴)
    다비           [magician  ] SP=4, 쿨타임=4턴
    카라라트리        [attacker  ] SP=6, 쿨타임=4턴
    세멜레          [magician  ] SP=4, 쿨타임=4턴
    지바           [healer    ] SP=3, 쿨타임=4턴
    살마키스         [supporter ] SP=4, 쿨타임=4턴

  M02 독정원    (평균SPD: 104, 평균쿨타임: 4.0턴)
    바리           [magician  ] SP=4, 쿨타임=4턴
    도계화          [magician  ] SP=4, 쿨타임=4턴
    상아           [supporter ] SP=4, 쿨타임=4턴
    티스베          [healer    ] SP=3, 쿨타임=4턴
    엘리시온         [defender  ] SP=3, 쿨타임=4턴

  M03 출혈폭딜  (평균SPD: 102, 평균쿨타임: 4.0턴)
    바토리          [supporter ] SP=4, 쿨타임=4턴
    미르칼라         [healer    ] SP=3, 쿨타임=4턴
    모건           [magician  ] SP=4, 쿨타임=4턴

    유나           [supporter ] SP=4, 쿨타임=4턴



  M08 철벽반격  (평균SPD: 100, 평균쿨타임: 4.0턴)

    데레사          [defender  ] SP=3, 쿨타임=4턴

    프레이          [defender  ] SP=3, 쿨타임=4턴

    라가라자         [attacker  ] SP=6, 쿨타임=4턴

    메티스          [defender  ] SP=3, 쿨타임=4턴

    지바           [healer    ] SP=3, 쿨타임=4턴



  M09 풀암속성  (평균SPD: 98, 평균쿨타임: 4.0턴)

    쿠바바          [attacker  ] SP=6, 쿨타임=4턴

    아르테미스        [magician  ] SP=4, 쿨타임=4턴

    아누비스         [attacker  ] SP=6, 쿨타임=4턴

    프레이          [defender  ] SP=3, 쿨타임=4턴

    유나           [supporter ] SP=4, 쿨타임=4턴



  M10 야성해방  (평균SPD: 106, 평균쿨타임: 4.0턴)

    그릴라          [supporter ] SP=4, 쿨타임=4턴

    미리암          [attacker  ] SP=6, 쿨타임=4턴

    바토리          [supporter ] SP=4, 쿨타임=4턴

    아우로라         [supporter ] SP=4, 쿨타임=4턴

    브라우니         [healer    ] SP=3, 쿨타임=4턴



  M11 화상수면  (평균SPD: 102, 평균쿨타임: 4.0턴)

    판            [magician  ] SP=4, 쿨타임=4턴

    다비           [magician  ] SP=4, 쿨타임=4턴

    세멜레          [magician  ] SP=4, 쿨타임=4턴

    아우로라         [supporter ] SP=4, 쿨타임=4턴

    지바           [healer    ] SP=3, 쿨타임=4턴



  M12 속도출혈  (평균SPD: 108, 평균쿨타임: 4.0턴)

    모건           [magician  ] SP=4, 쿨타임=4턴

    미르칼라         [healer    ] SP=3, 쿨타임=4턴

    살마키스         [supporter ] SP=4, 쿨타임=4턴

    상아           [supporter ] SP=4, 쿨타임=4턴

    엘리시온         [defender  ] SP=3, 쿨타임=4턴



================================================================================

  전면 대전 시작 (50 seeds × 132 매치업 = 6,600번 전투)

================================================================================


  M01 vs M02 [                    ] 1/50 완료
  M01 vs M02 [                    ] 2/50 완료
  M01 vs M02 [=                   ] 3/50 완료
  M01 vs M02 [=                   ] 4/50 완료
  M01 vs M02 [==                  ] 5/50 완료
  M01 vs M02 [==                  ] 6/50 완료
  M01 vs M02 [==                  ] 7/50 완료
  M01 vs M02 [===                 ] 8/50 완료
  M01 vs M02 [===                 ] 9/50 완료
  M01 vs M02 [====                ] 10/50 완료
  M01 vs M02 [====                ] 11/50 완료
  M01 vs M02 [====                ] 12/50 완료
  M01 vs M02 [=====               ] 13/50 완료
  M01 vs M02 [=====               ] 14/50 완료
  M01 vs M02 [======              ] 15/50 완료
  M01 vs M02 [======              ] 16/50 완료
  M01 vs M02 [======              ] 17/50 완료
  M01 vs M02 [=======             ] 18/50 완료
  M01 vs M02 [=======             ] 19/50 완료
  M01 vs M02 [========            ] 20/50 완료
  M01 vs M02 [========            ] 21/50 완료
  M01 vs M02 [========            ] 22/50 완료
  M01 vs M02 [=========           ] 23/50 완료
  M01 vs M02 [=========           ] 24/50 완료
  M01 vs M02 [==========          ] 25/50 완료
  M01 vs M02 [==========          ] 26/50 완료
  M01 vs M02 [==========          ] 27/50 완료
  M01 vs M02 [===========         ] 28/50 완료
  M01 vs M02 [===========         ] 29/50 완료
  M01 vs M02 [============        ] 30/50 완료
  M01 vs M02 [============        ] 31/50 완료
  M01 vs M02 [============        ] 32/50 완료
  M01 vs M02 [=============       ] 33/50 완료
  M01 vs M02 [=============       ] 34/50 완료
  M01 vs M02 [==============      ] 35/50 완료
  M01 vs M02 [==============      ] 36/50 완료
  M01 vs M02 [==============      ] 37/50 완료
  M01 vs M02 [===============     ] 38/50 완료
  M01 vs M02 [===============     ] 39/50 완료
  M01 vs M02 [================    ] 40/50 완료
  M01 vs M02 [================    ] 41/50 완료
  M01 vs M02 [================    ] 42/50 완료
  M01 vs M02 [=================   ] 43/50 완료
  M01 vs M02 [=================   ] 44/50 완료
  M01 vs M02 [==================  ] 45/50 완료
  M01 vs M02 [==================  ] 46/50 완료
  M01 vs M02 [==================  ] 47/50 완료
  M01 vs M02 [=================== ] 48/50 완료
  M01 vs M02 [=================== ] 49/50 완료
  M01 vs M02 [====================] 50/50 완료

  M01 vs M02: 2W / 40L / 8T  → 12.0%  avg_turn=154.6


  M01 vs M03 [                    ] 1/50 완료
  M01 vs M03 [                    ] 2/50 완료
  M01 vs M03 [=                   ] 3/50 완료
  M01 vs M03 [=                   ] 4/50 완료
  M01 vs M03 [==                  ] 5/50 완료
  M01 vs M03 [==                  ] 6/50 완료
  M01 vs M03 [==                  ] 7/50 완료
  M01 vs M03 [===                 ] 8/50 완료
  M01 vs M03 [===                 ] 9/50 완료
  M01 vs M03 [====                ] 10/50 완료
  M01 vs M03 [====                ] 11/50 완료
  M01 vs M03 [====                ] 12/50 완료
  M01 vs M03 [=====               ] 13/50 완료
  M01 vs M03 [=====               ] 14/50 완료
  M01 vs M03 [======              ] 15/50 완료
  M01 vs M03 [======              ] 16/50 완료
  M01 vs M03 [======              ] 17/50 완료
  M01 vs M03 [=======             ] 18/50 완료
  M01 vs M03 [=======             ] 19/50 완료
  M01 vs M03 [========            ] 20/50 완료
  M01 vs M03 [========            ] 21/50 완료
  M01 vs M03 [========            ] 22/50 완료
  M01 vs M03 [=========           ] 23/50 완료
  M01 vs M03 [=========           ] 24/50 완료
  M01 vs M03 [==========          ] 25/50 완료
  M01 vs M03 [==========          ] 26/50 완료
  M01 vs M03 [==========          ] 27/50 완료
  M01 vs M03 [===========         ] 28/50 완료
  M01 vs M03 [===========         ] 29/50 완료
  M01 vs M03 [============        ] 30/50 완료
  M01 vs M03 [============        ] 31/50 완료
  M01 vs M03 [============        ] 32/50 완료
  M01 vs M03 [=============       ] 33/50 완료
  M01 vs M03 [=============       ] 34/50 완료
  M01 vs M03 [==============      ] 35/50 완료
  M01 vs M03 [==============      ] 36/50 완료
  M01 vs M03 [==============      ] 37/50 완료
  M01 vs M03 [===============     ] 38/50 완료
  M01 vs M03 [===============     ] 39/50 완료
  M01 vs M03 [================    ] 40/50 완료
  M01 vs M03 [================    ] 41/50 완료
  M01 vs M03 [================    ] 42/50 완료
  M01 vs M03 [=================   ] 43/50 완료
  M01 vs M03 [=================   ] 44/50 완료
  M01 vs M03 [==================  ] 45/50 완료
  M01 vs M03 [==================  ] 46/50 완료
  M01 vs M03 [==================  ] 47/50 완료
  M01 vs M03 [=================== ] 48/50 완료
  M01 vs M03 [=================== ] 49/50 완료
  M01 vs M03 [====================] 50/50 완료

  M01 vs M03: 0W / 50L / 0T  → 0.0%  avg_turn=63.1


  M01 vs M04 [                    ] 1/50 완료
  M01 vs M04 [                    ] 2/50 완료
  M01 vs M04 [=                   ] 3/50 완료
  M01 vs M04 [=                   ] 4/50 완료
  M01 vs M04 [==                  ] 5/50 완료
  M01 vs M04 [==                  ] 6/50 완료
  M01 vs M04 [==                  ] 7/50 완료
  M01 vs M04 [===                 ] 8/50 완료
  M01 vs M04 [===                 ] 9/50 완료
  M01 vs M04 [====                ] 10/50 완료
  M01 vs M04 [====                ] 11/50 완료
  M01 vs M04 [====                ] 12/50 완료
  M01 vs M04 [=====               ] 13/50 완료
  M01 vs M04 [=====               ] 14/50 완료
  M01 vs M04 [======              ] 15/50 완료
  M01 vs M04 [======              ] 16/50 완료
  M01 vs M04 [======              ] 17/50 완료
  M01 vs M04 [=======             ] 18/50 완료
  M01 vs M04 [=======             ] 19/50 완료
  M01 vs M04 [========            ] 20/50 완료
  M01 vs M04 [========            ] 21/50 완료
  M01 vs M04 [========            ] 22/50 완료
  M01 vs M04 [=========           ] 23/50 완료
  M01 vs M04 [=========           ] 24/50 완료
  M01 vs M04 [==========          ] 25/50 완료
  M01 vs M04 [==========          ] 26/50 완료
  M01 vs M04 [==========          ] 27/50 완료
  M01 vs M04 [===========         ] 28/50 완료
  M01 vs M04 [===========         ] 29/50 완료
  M01 vs M04 [============        ] 30/50 완료
  M01 vs M04 [============        ] 31/50 완료
  M01 vs M04 [============        ] 32/50 완료
  M01 vs M04 [=============       ] 33/50 완료
  M01 vs M04 [=============       ] 34/50 완료
  M01 vs M04 [==============      ] 35/50 완료
  M01 vs M04 [==============      ] 36/50 완료
  M01 vs M04 [==============      ] 37/50 완료
  M01 vs M04 [===============     ] 38/50 완료
  M01 vs M04 [===============     ] 39/50 완료
  M01 vs M04 [================    ] 40/50 완료
  M01 vs M04 [================    ] 41/50 완료
  M01 vs M04 [================    ] 42/50 완료
  M01 vs M04 [=================   ] 43/50 완료
  M01 vs M04 [=================   ] 44/50 완료
  M01 vs M04 [==================  ] 45/50 완료
  M01 vs M04 [==================  ] 46/50 완료
  M01 vs M04 [==================  ] 47/50 완료
  M01 vs M04 [=================== ] 48/50 완료
  M01 vs M04 [=================== ] 49/50 완료
  M01 vs M04 [====================] 50/50 완료

  M01 vs M04: 50W / 0L / 0T  → 100.0%  avg_turn=84.2


  M01 vs M05 [                    ] 1/50 완료
  M01 vs M05 [                    ] 2/50 완료
  M01 vs M05 [=                   ] 3/50 완료
  M01 vs M05 [=                   ] 4/50 완료
  M01 vs M05 [==                  ] 5/50 완료
  M01 vs M05 [==                  ] 6/50 완료
  M01 vs M05 [==                  ] 7/50 완료
  M01 vs M05 [===                 ] 8/50 완료
  M01 vs M05 [===                 ] 9/50 완료
  M01 vs M05 [====                ] 10/50 완료
  M01 vs M05 [====                ] 11/50 완료
  M01 vs M05 [====                ] 12/50 완료
  M01 vs M05 [=====               ] 13/50 완료
  M01 vs M05 [=====               ] 14/50 완료
  M01 vs M05 [======              ] 15/50 완료
  M01 vs M05 [======              ] 16/50 완료
  M01 vs M05 [======              ] 17/50 완료
  M01 vs M05 [=======             ] 18/50 완료
  M01 vs M05 [=======             ] 19/50 완료
  M01 vs M05 [========            ] 20/50 완료
  M01 vs M05 [========            ] 21/50 완료
  M01 vs M05 [========            ] 22/50 완료
  M01 vs M05 [=========           ] 23/50 완료
  M01 vs M05 [=========           ] 24/50 완료
  M01 vs M05 [==========          ] 25/50 완료
  M01 vs M05 [==========          ] 26/50 완료
  M01 vs M05 [==========          ] 27/50 완료
  M01 vs M05 [===========         ] 28/50 완료
  M01 vs M05 [===========         ] 29/50 완료
  M01 vs M05 [============        ] 30/50 완료
  M01 vs M05 [============        ] 31/50 완료
  M01 vs M05 [============        ] 32/50 완료
  M01 vs M05 [=============       ] 33/50 완료
  M01 vs M05 [=============       ] 34/50 완료
  M01 vs M05 [==============      ] 35/50 완료
  M01 vs M05 [==============      ] 36/50 완료
  M01 vs M05 [==============      ] 37/50 완료
  M01 vs M05 [===============     ] 38/50 완료
  M01 vs M05 [===============     ] 39/50 완료
  M01 vs M05 [================    ] 40/50 완료
  M01 vs M05 [================    ] 41/50 완료
  M01 vs M05 [================    ] 42/50 완료
  M01 vs M05 [=================   ] 43/50 완료
  M01 vs M05 [=================   ] 44/50 완료
  M01 vs M05 [==================  ] 45/50 완료
  M01 vs M05 [==================  ] 46/50 완료
  M01 vs M05 [==================  ] 47/50 완료
  M01 vs M05 [=================== ] 48/50 완료
  M01 vs M05 [=================== ] 49/50 완료
  M01 vs M05 [====================] 50/50 완료

  M01 vs M05: 15W / 20L / 15T  → 45.0%  avg_turn=228.2


  M01 vs M06 [                    ] 1/50 완료
  M01 vs M06 [                    ] 2/50 완료
  M01 vs M06 [=                   ] 3/50 완료
  M01 vs M06 [=                   ] 4/50 완료
  M01 vs M06 [==                  ] 5/50 완료
  M01 vs M06 [==                  ] 6/50 완료
  M01 vs M06 [==                  ] 7/50 완료
  M01 vs M06 [===                 ] 8/50 완료
  M01 vs M06 [===                 ] 9/50 완료
  M01 vs M06 [====                ] 10/50 완료
  M01 vs M06 [====                ] 11/50 완료
  M01 vs M06 [====                ] 12/50 완료
  M01 vs M06 [=====               ] 13/50 완료
  M01 vs M06 [=====               ] 14/50 완료
  M01 vs M06 [======              ] 15/50 완료
  M01 vs M06 [======              ] 16/50 완료
  M01 vs M06 [======              ] 17/50 완료
  M01 vs M06 [=======             ] 18/50 완료
  M01 vs M06 [=======             ] 19/50 완료
  M01 vs M06 [========            ] 20/50 완료
  M01 vs M06 [========            ] 21/50 완료
  M01 vs M06 [========            ] 22/50 완료
  M01 vs M06 [=========           ] 23/50 완료
  M01 vs M06 [=========           ] 24/50 완료
  M01 vs M06 [==========          ] 25/50 완료
  M01 vs M06 [==========          ] 26/50 완료
  M01 vs M06 [==========          ] 27/50 완료
  M01 vs M06 [===========         ] 28/50 완료
  M01 vs M06 [===========         ] 29/50 완료
  M01 vs M06 [============        ] 30/50 완료
  M01 vs M06 [============        ] 31/50 완료
  M01 vs M06 [============        ] 32/50 완료
  M01 vs M06 [=============       ] 33/50 완료
  M01 vs M06 [=============       ] 34/50 완료
  M01 vs M06 [==============      ] 35/50 완료
  M01 vs M06 [==============      ] 36/50 완료
  M01 vs M06 [==============      ] 37/50 완료
  M01 vs M06 [===============     ] 38/50 완료
  M01 vs M06 [===============     ] 39/50 완료
  M01 vs M06 [================    ] 40/50 완료
  M01 vs M06 [================    ] 41/50 완료
  M01 vs M06 [================    ] 42/50 완료
  M01 vs M06 [=================   ] 43/50 완료
  M01 vs M06 [=================   ] 44/50 완료
  M01 vs M06 [==================  ] 45/50 완료
  M01 vs M06 [==================  ] 46/50 완료
  M01 vs M06 [==================  ] 47/50 완료
  M01 vs M06 [=================== ] 48/50 완료
  M01 vs M06 [=================== ] 49/50 완료
  M01 vs M06 [====================] 50/50 완료

  M01 vs M06: 41W / 9L / 0T  → 82.0%  avg_turn=64.9


  M01 vs M07 [                    ] 1/50 완료
  M01 vs M07 [                    ] 2/50 완료
  M01 vs M07 [=                   ] 3/50 완료
  M01 vs M07 [=                   ] 4/50 완료
  M01 vs M07 [==                  ] 5/50 완료
  M01 vs M07 [==                  ] 6/50 완료
  M01 vs M07 [==                  ] 7/50 완료
  M01 vs M07 [===                 ] 8/50 완료
  M01 vs M07 [===                 ] 9/50 완료
  M01 vs M07 [====                ] 10/50 완료
  M01 vs M07 [====                ] 11/50 완료
  M01 vs M07 [====                ] 12/50 완료
  M01 vs M07 [=====               ] 13/50 완료
  M01 vs M07 [=====               ] 14/50 완료
  M01 vs M07 [======              ] 15/50 완료
  M01 vs M07 [======              ] 16/50 완료
  M01 vs M07 [======              ] 17/50 완료
  M01 vs M07 [=======             ] 18/50 완료
  M01 vs M07 [=======             ] 19/50 완료
  M01 vs M07 [========            ] 20/50 완료
  M01 vs M07 [========            ] 21/50 완료
  M01 vs M07 [========            ] 22/50 완료
  M01 vs M07 [=========           ] 23/50 완료
  M01 vs M07 [=========           ] 24/50 완료
  M01 vs M07 [==========          ] 25/50 완료
  M01 vs M07 [==========          ] 26/50 완료
  M01 vs M07 [==========          ] 27/50 완료
  M01 vs M07 [===========         ] 28/50 완료
  M01 vs M07 [===========         ] 29/50 완료
  M01 vs M07 [============        ] 30/50 완료
  M01 vs M07 [============        ] 31/50 완료
  M01 vs M07 [============        ] 32/50 완료
  M01 vs M07 [=============       ] 33/50 완료
  M01 vs M07 [=============       ] 34/50 완료
  M01 vs M07 [==============      ] 35/50 완료
  M01 vs M07 [==============      ] 36/50 완료
  M01 vs M07 [==============      ] 37/50 완료
  M01 vs M07 [===============     ] 38/50 완료
  M01 vs M07 [===============     ] 39/50 완료
  M01 vs M07 [================    ] 40/50 완료
  M01 vs M07 [================    ] 41/50 완료
  M01 vs M07 [================    ] 42/50 완료
  M01 vs M07 [=================   ] 43/50 완료
  M01 vs M07 [=================   ] 44/50 완료
  M01 vs M07 [==================  ] 45/50 완료
  M01 vs M07 [==================  ] 46/50 완료
  M01 vs M07 [==================  ] 47/50 완료
  M01 vs M07 [=================== ] 48/50 완료
  M01 vs M07 [=================== ] 49/50 완료
  M01 vs M07 [====================] 50/50 완료

  M01 vs M07: 41W / 4L / 5T  → 87.0%  avg_turn=99.7


  M01 vs M08 [                    ] 1/50 완료
  M01 vs M08 [                    ] 2/50 완료
  M01 vs M08 [=                   ] 3/50 완료
  M01 vs M08 [=                   ] 4/50 완료
  M01 vs M08 [==                  ] 5/50 완료
  M01 vs M08 [==                  ] 6/50 완료
  M01 vs M08 [==                  ] 7/50 완료
  M01 vs M08 [===                 ] 8/50 완료
  M01 vs M08 [===                 ] 9/50 완료
  M01 vs M08 [====                ] 10/50 완료
  M01 vs M08 [====                ] 11/50 완료
  M01 vs M08 [====                ] 12/50 완료
  M01 vs M08 [=====               ] 13/50 완료
  M01 vs M08 [=====               ] 14/50 완료
  M01 vs M08 [======              ] 15/50 완료
  M01 vs M08 [======              ] 16/50 완료
  M01 vs M08 [======              ] 17/50 완료
  M01 vs M08 [=======             ] 18/50 완료
  M01 vs M08 [=======             ] 19/50 완료
  M01 vs M08 [========            ] 20/50 완료
  M01 vs M08 [========            ] 21/50 완료
  M01 vs M08 [========            ] 22/50 완료
  M01 vs M08 [=========           ] 23/50 완료
  M01 vs M08 [=========           ] 24/50 완료
  M01 vs M08 [==========          ] 25/50 완료
  M01 vs M08 [==========          ] 26/50 완료
  M01 vs M08 [==========          ] 27/50 완료
  M01 vs M08 [===========         ] 28/50 완료
  M01 vs M08 [===========         ] 29/50 완료
  M01 vs M08 [============        ] 30/50 완료
  M01 vs M08 [============        ] 31/50 완료
  M01 vs M08 [============        ] 32/50 완료
  M01 vs M08 [=============       ] 33/50 완료
  M01 vs M08 [=============       ] 34/50 완료
  M01 vs M08 [==============      ] 35/50 완료
  M01 vs M08 [==============      ] 36/50 완료
  M01 vs M08 [==============      ] 37/50 완료
  M01 vs M08 [===============     ] 38/50 완료
  M01 vs M08 [===============     ] 39/50 완료
  M01 vs M08 [================    ] 40/50 완료
  M01 vs M08 [================    ] 41/50 완료
  M01 vs M08 [================    ] 42/50 완료
  M01 vs M08 [=================   ] 43/50 완료
  M01 vs M08 [=================   ] 44/50 완료
  M01 vs M08 [==================  ] 45/50 완료
  M01 vs M08 [==================  ] 46/50 완료
  M01 vs M08 [==================  ] 47/50 완료
  M01 vs M08 [=================== ] 48/50 완료
  M01 vs M08 [=================== ] 49/50 완료
  M01 vs M08 [====================] 50/50 완료

  M01 vs M08: 0W / 50L / 0T  → 0.0%  avg_turn=76.6


  M01 vs M09 [                    ] 1/50 완료
  M01 vs M09 [                    ] 2/50 완료
  M01 vs M09 [=                   ] 3/50 완료
  M01 vs M09 [=                   ] 4/50 완료
  M01 vs M09 [==                  ] 5/50 완료
  M01 vs M09 [==                  ] 6/50 완료
  M01 vs M09 [==                  ] 7/50 완료
  M01 vs M09 [===                 ] 8/50 완료
  M01 vs M09 [===                 ] 9/50 완료
  M01 vs M09 [====                ] 10/50 완료
  M01 vs M09 [====                ] 11/50 완료
  M01 vs M09 [====                ] 12/50 완료
  M01 vs M09 [=====               ] 13/50 완료
  M01 vs M09 [=====               ] 14/50 완료
  M01 vs M09 [======              ] 15/50 완료
  M01 vs M09 [======              ] 16/50 완료
  M01 vs M09 [======              ] 17/50 완료
  M01 vs M09 [=======             ] 18/50 완료
  M01 vs M09 [=======             ] 19/50 완료
  M01 vs M09 [========            ] 20/50 완료
  M01 vs M09 [========            ] 21/50 완료
  M01 vs M09 [========            ] 22/50 완료
  M01 vs M09 [=========           ] 23/50 완료
  M01 vs M09 [=========           ] 24/50 완료
  M01 vs M09 [==========          ] 25/50 완료
  M01 vs M09 [==========          ] 26/50 완료
  M01 vs M09 [==========          ] 27/50 완료
  M01 vs M09 [===========         ] 28/50 완료
  M01 vs M09 [===========         ] 29/50 완료
  M01 vs M09 [============        ] 30/50 완료
  M01 vs M09 [============        ] 31/50 완료
  M01 vs M09 [============        ] 32/50 완료
  M01 vs M09 [=============       ] 33/50 완료
  M01 vs M09 [=============       ] 34/50 완료
  M01 vs M09 [==============      ] 35/50 완료
  M01 vs M09 [==============      ] 36/50 완료
  M01 vs M09 [==============      ] 37/50 완료
  M01 vs M09 [===============     ] 38/50 완료
  M01 vs M09 [===============     ] 39/50 완료
  M01 vs M09 [================    ] 40/50 완료
  M01 vs M09 [================    ] 41/50 완료
  M01 vs M09 [================    ] 42/50 완료
  M01 vs M09 [=================   ] 43/50 완료
  M01 vs M09 [=================   ] 44/50 완료
  M01 vs M09 [==================  ] 45/50 완료
  M01 vs M09 [==================  ] 46/50 완료
  M01 vs M09 [==================  ] 47/50 완료
  M01 vs M09 [=================== ] 48/50 완료
  M01 vs M09 [=================== ] 49/50 완료
  M01 vs M09 [====================] 50/50 완료

  M01 vs M09: 50W / 0L / 0T  → 100.0%  avg_turn=44.8


  M01 vs M10 [                    ] 1/50 완료
  M01 vs M10 [                    ] 2/50 완료
  M01 vs M10 [=                   ] 3/50 완료
  M01 vs M10 [=                   ] 4/50 완료
  M01 vs M10 [==                  ] 5/50 완료
  M01 vs M10 [==                  ] 6/50 완료
  M01 vs M10 [==                  ] 7/50 완료
  M01 vs M10 [===                 ] 8/50 완료
  M01 vs M10 [===                 ] 9/50 완료
  M01 vs M10 [====                ] 10/50 완료
  M01 vs M10 [====                ] 11/50 완료
  M01 vs M10 [====                ] 12/50 완료
  M01 vs M10 [=====               ] 13/50 완료
  M01 vs M10 [=====               ] 14/50 완료
  M01 vs M10 [======              ] 15/50 완료
  M01 vs M10 [======              ] 16/50 완료
  M01 vs M10 [======              ] 17/50 완료
  M01 vs M10 [=======             ] 18/50 완료
  M01 vs M10 [=======             ] 19/50 완료
  M01 vs M10 [========            ] 20/50 완료
  M01 vs M10 [========            ] 21/50 완료
  M01 vs M10 [========            ] 22/50 완료
  M01 vs M10 [=========           ] 23/50 완료
  M01 vs M10 [=========           ] 24/50 완료
  M01 vs M10 [==========          ] 25/50 완료
  M01 vs M10 [==========          ] 26/50 완료
  M01 vs M10 [==========          ] 27/50 완료
  M01 vs M10 [===========         ] 28/50 완료
  M01 vs M10 [===========         ] 29/50 완료
  M01 vs M10 [============        ] 30/50 완료
  M01 vs M10 [============        ] 31/50 완료
  M01 vs M10 [============        ] 32/50 완료
  M01 vs M10 [=============       ] 33/50 완료
  M01 vs M10 [=============       ] 34/50 완료
  M01 vs M10 [==============      ] 35/50 완료
  M01 vs M10 [==============      ] 36/50 완료
  M01 vs M10 [==============      ] 37/50 완료
  M01 vs M10 [===============     ] 38/50 완료
  M01 vs M10 [===============     ] 39/50 완료
  M01 vs M10 [================    ] 40/50 완료
  M01 vs M10 [================    ] 41/50 완료
  M01 vs M10 [================    ] 42/50 완료
  M01 vs M10 [=================   ] 43/50 완료
  M01 vs M10 [=================   ] 44/50 완료
  M01 vs M10 [==================  ] 45/50 완료
  M01 vs M10 [==================  ] 46/50 완료
  M01 vs M10 [==================  ] 47/50 완료
  M01 vs M10 [=================== ] 48/50 완료
  M01 vs M10 [=================== ] 49/50 완료
  M01 vs M10 [====================] 50/50 완료

  M01 vs M10: 6W / 39L / 5T  → 17.0%  avg_turn=115.0


  M01 vs M11 [                    ] 1/50 완료
  M01 vs M11 [                    ] 2/50 완료
  M01 vs M11 [=                   ] 3/50 완료
  M01 vs M11 [=                   ] 4/50 완료
  M01 vs M11 [==                  ] 5/50 완료
  M01 vs M11 [==                  ] 6/50 완료
  M01 vs M11 [==                  ] 7/50 완료
  M01 vs M11 [===                 ] 8/50 완료
  M01 vs M11 [===                 ] 9/50 완료
  M01 vs M11 [====                ] 10/50 완료
  M01 vs M11 [====                ] 11/50 완료
  M01 vs M11 [====                ] 12/50 완료
  M01 vs M11 [=====               ] 13/50 완료
  M01 vs M11 [=====               ] 14/50 완료
  M01 vs M11 [======              ] 15/50 완료
  M01 vs M11 [======              ] 16/50 완료
  M01 vs M11 [======              ] 17/50 완료
